,date,pe,close
3820,2014/11/24,12.35,2532.88
3821,2014/11/25,12.52,2567.6
3822,2014/11/26,12.7,2604.34
3823,2014/11/27,12.83,2630.49
3824,2014/11/28,13.13,2682.83
3825,2014/12/1,13.12,2680.16
3826,2014/12/2,13.53,2763.54
3827,2014/12/3,13.6,2779.52
3828,2014/12/4,14.19,2899.46
3829,2014/12/5,14.38,2937.65
3830,2014/12/8,14.78,3020.26
3831,2014/12/9,13.98,2856.27
3832,2014/12/10,14.39,2940.01
3833,2014/12/11,14.32,2925.74
3834,2014/12/12,14.38,2938.17
3835,2014/12/15,14.45,2953.42
3836,2014/12/16,14.79,3021.52
3837,2014/12/17,14.98,3061.02
3838,2014/12/18,14.96,3057.52
3839,2014/12/19,15.21,3108.6
3840,2014/12/22,15.31,3127.45
3841,2014/12/23,14.84,3032.61
3842,2014/12/24,14.55,2972.53
3843,2014/12/25,15.04,3072.54
3844,2014/12/26,15.45,3157.6
3845,2014/12/29,15.5,3168.02
3846,2014/12/30,15.49,3165.81
3847,2014/12/31,16.03,3234.68
3848,2015/1/5,16.6,3350.52
3849,2015/1/6,16.61,3351.45
3850,2015/1/7,16.72,3373.95
3851,2015/1/8,16.32,3293.46
3852,2015/1/9,16.28,3285.41
3853,2015/1/12,16,3229.32
3854,2015/1/13,16.03,3235.3
3855,2015/1/14,15.97,3222.44
3856,2015/1/15,16.53,3336.46
3857,2015/1/16,16.73,3376.5
3858,2015/1/19,15.44,3116.35
3859,2015/1/20,15.72,3173.05
3860,2015/1/21,16.47,3323.61
3861,2015/1/22,16.57,3343.34
3862,2015/1/23,16.61,3351.76
3863,2015/1/26,16.77,3383.18
3864,2015/1/27,16.62,3352.96
3865,2015/1/28,16.38,3305.74
3866,2015/1/29,16.17,3262.3
3867,2015/1/30,15.96,3210.36
3868,2015/2/2,15.55,3128.3
3869,2015/2/3,15.93,3204.91
3870,2015/2/4,15.78,3174.13
3871,2015/2/5,15.59,3136.53
3872,2015/2/6,15.29,3075.91
3873,2015/2/9,15.39,3095.12
3874,2015/2/10,15.62,3141.59
3875,2015/2/11,15.7,3157.7
3876,2015/2/12,15.78,3173.42
3877,2015/2/13,15.93,3203.83
3878,2015/2/16,16.02,3222.36
3879,2015/2/17,16.14,3246.91
3880,2015/2/25,16.05,3228.84
3881,2015/2/26,16.4,3298.36
3882,2015/2/27,16.52,3310.3
3883,2015/3/2,16.65,3336.28
3884,2015/3/3,16.28,3263.05
3885,2015/3/4,16.37,3279.53
3886,2015/3/5,16.21,3248.48
3887,2015/3/6,16.18,3241.19
3888,2015/3/9,16.48,3302.41
3889,2015/3/10,16.4,3286.07
3890,2015/3/11,16.42,3290.9
3891,2015/3/12,16.71,3349.32
3892,2015/3/13,16.83,3372.91
3893,2015/3/16,17.21,3449.3
3894,2015/3/17,17.48,3502.85
3895,2015/3/18,17.85,3577.3
3896,2015/3/19,17.88,3582.27
3897,2015/3/20,18.05,3617.32
3898,2015/3/23,18.4,3687.73
3899,2015/3/24,18.42,3691.41
3900,2015/3/25,18.27,3660.73
3901,2015/3/26,18.38,3682.09
3902,2015/3/27,18.42,3691.1
3903,2015/3/30,18.9,3786.57
3904,2015/3/31,18.93,3747.9
3905,2015/4/1,19.25,3810.29
3906,2015/4/2,19.32,3825.78
3907,2015/4/3,19.52,3863.93
3908,2015/4/7,20.01,3961.38
3909,2015/4/8,20.18,3994.81
3910,2015/4/9,19.99,3957.53
3911,2015/4/10,20.38,4034.31
3912,2015/4/13,20.82,4121.71
3913,2015/4/14,20.89,4135.56
3914,2015/4/15,20.63,4084.16
3915,2015/4/16,21.19,4194.82
3916,2015/4/17,21.65,4287.3
3917,2015/4/20,21.3,4217.08
3918,2015/4/21,21.69,4293.62
3919,2015/4/22,22.22,4398.49
3920,2015/4/23,22.3,4414.51
3921,2015/4/24,22.19,4393.69
3922,2015/4/27,22.87,4527.4
3923,2015/4/28,22.61,4476.21
3924,2015/4/29,22.61,4476.62
3925,2015/4/30,22.5,4441.65
3926,2015/5/4,22.7,4480.46
3927,2015/5/5,21.78,4298.71
3928,2015/5/6,21.42,4229.27
3929,2015/5/7,20.83,4112.21
3930,2015/5/8,21.31,4205.92
3931,2015/5/11,21.95,4333.58
3932,2015/5/12,22.3,4401.22
3933,2015/5/13,22.17,4375.76
3934,2015/5/14,22.18,4378.31
3935,2015/5/15,21.83,4308.69
3936,2015/5/18,21.7,4283.49
3937,2015/5/19,22.38,4417.55
3938,2015/5/20,22.52,4446.29
3939,2015/5/21,22.94,4529.42
3940,2015/5/22,23.59,4657.6
3941,2015/5/25,24.39,4813.8
3942,2015/5/26,24.88,4910.9
3943,2015/5/27,25.03,4941.71
3944,2015/5/28,23.4,4620.27
3945,2015/5/29,21.93,4611.74
3946,2015/6/1,22.96,4828.74
3947,2015/6/2,23.35,4910.53
3948,2015/6/3,23.35,4909.98
3949,2015/6/4,23.52,4947.1
3950,2015/6/5,23.89,5023.1
3951,2015/6/8,24.4,5131.88
3952,2015/6/9,24.32,5113.53
3953,2015/6/10,24.28,5106.04
3954,2015/6/11,24.35,5121.59
3955,2015/6/12,24.57,5166.35
3956,2015/6/15,24.08,5062.99
3957,2015/6/16,23.24,4887.43
3958,2015/6/17,23.62,4967.9
3959,2015/6/18,22.76,4785.36
3960,2015/6/19,21.3,4478.36
3961,2015/6/23,21.76,4576.49
3962,2015/6/24,22.3,4690.15
3963,2015/6/25,21.53,4527.78
3964,2015/6/26,19.94,4192.87
3965,2015/6/29,19.27,4053.03
3966,2015/6/30,21,4277.22
3967,2015/7/1,19.9,4053.7
3968,2015/7/2,19.21,3912.77
3969,2015/7/3,18.1,3686.92
3970,2015/7/6,18.54,3775.91
3971,2015/7/7,18.3,3727.12
3972,2015/7/8,17.22,3507.19
3973,2015/7/9,18.21,3709.33
3974,2015/7/10,19.04,3877.8
3975,2015/7/13,19.49,3970.39
3976,2015/7/14,19.27,3924.49
3977,2015/7/15,18.68,3805.7
3978,2015/7/16,18.77,3823.18
3979,2015/7/17,19.43,3957.35
3980,2015/7/20,19.6,3992.11
3981,2015/7/21,19.73,4017.68
3982,2015/7/22,19.77,4026.04
3983,2015/7/23,20.25,4123.92
3984,2015/7/24,19.99,4070.91
3985,2015/7/27,18.29,3725.56
3986,2015/7/28,17.98,3663
3987,2015/7/29,18.6,3789.17
3988,2015/7/30,18.19,3705.77
3989,2015/7/31,20.89,3663.73
3990,2015/8/3,20.66,3622.91
3991,2015/8/4,21.42,3756.54
3992,2015/8/5,21.07,3694.57
3993,2015/8/6,20.88,3661.54
3994,2015/8/7,21.35,3744.21
3995,2015/8/10,22.4,3928.42
3996,2015/8/11,22.4,3927.91
3997,2015/8/12,22.16,3886.32
3998,2015/8/13,22.55,3954.56
3999,2015/8/14,22.61,3965.33
4000,2015/8/17,22.77,3993.67
4001,2015/8/18,21.37,3748.16
4002,2015/8/19,21.63,3794.11
4003,2015/8/20,20.89,3664.29
4004,2015/8/21,20,3507.74
4005,2015/8/24,18.3,3209.91
4006,2015/8/25,16.91,2964.97
4007,2015/8/26,16.69,2927.29
4008,2015/8/27,17.58,3083.59
4009,2015/8/28,18.43,3232.35
4010,2015/8/31,15.81,3205.99
4011,2015/9/1,15.62,3166.62
4012,2015/9/2,15.58,3160.17
4013,2015/9/7,15.19,3080.42
4014,2015/9/8,15.63,3170.45
4015,2015/9/9,15.99,3243.09
4016,2015/9/10,15.77,3197.89
4017,2015/9/11,15.78,3200.23
4018,2015/9/14,15.36,3114.8
4019,2015/9/15,14.82,3005.17
4020,2015/9/16,15.55,3152.26
4021,2015/9/17,15.22,3086.06
4022,2015/9/18,15.28,3097.92
4023,2015/9/21,15.57,3156.54
4024,2015/9/22,15.71,3185.62
4025,2015/9/23,15.37,3115.89
4026,2015/9/24,15.5,3142.69
4027,2015/9/25,15.25,3092.35
4028,2015/9/28,15.29,3100.76
4029,2015/9/29,14.98,3038.14
4030,2015/9/30,15.15,3052.78
4031,2015/10/8,15.6,3143.36
4032,2015/10/9,15.8,3183.15
4033,2015/10/12,16.32,3287.66
4034,2015/10/13,16.34,3293.23
4035,2015/10/14,16.19,3262.44
4036,2015/10/15,16.57,3338.07
4037,2015/10/16,16.83,3391.35
4038,2015/10/19,16.81,3386.7
4039,2015/10/20,17,3425.33
4040,2015/10/21,16.48,3320.68
4041,2015/10/22,16.72,3368.74
4042,2015/10/23,16.93,3412.43
4043,2015/10/26,17.02,3429.58
4044,2015/10/27,17.04,3434.34
4045,2015/10/28,16.75,3375.2
4046,2015/10/29,16.81,3387.31
4047,2015/10/30,16.62,3382.56
4048,2015/11/2,16.34,3325.08
4049,2015/11/3,16.3,3316.7
4050,2015/11/4,17,3459.64
4051,2015/11/5,17.31,3522.82
4052,2015/11/6,17.64,3590.03
4053,2015/11/9,17.92,3646.88
4054,2015/11/10,17.89,3640.49
4055,2015/11/11,17.94,3650.25
4056,2015/11/12,17.85,3632.9
4057,2015/11/13,17.59,3580.84
4058,2015/11/16,17.72,3606.96
4059,2015/11/17,17.71,3604.79
4060,2015/11/18,17.53,3568.47
4061,2015/11/19,17.77,3617.06
4062,2015/11/20,17.84,3630.5
4063,2015/11/23,17.74,3610.31
4064,2015/11/24,17.77,3616.11
4065,2015/11/25,17.92,3647.93
4066,2015/11/26,17.86,3635.55
4067,2015/11/27,16.88,3436.3
4068,2015/11/30,17.1,3445.41
4069,2015/12/1,17.15,3456.31
4070,2015/12/2,17.55,3536.91
4071,2015/12/3,17.79,3584.82
4072,2015/12/4,17.49,3524.99
4073,2015/12/7,17.55,3536.93
4074,2015/12/8,17.22,3470.07
4075,2015/12/9,17.23,3472.44
4076,2015/12/10,17.15,3455.5
4077,2015/12/11,17.05,3434.58
4078,2015/12/14,17.47,3520.67
4079,2015/12/15,17.42,3510.35
4080,2015/12/16,17.45,3516.19
4081,2015/12/17,17.77,3580
4082,2015/12/18,17.76,3578.96
4083,2015/12/21,18.08,3642.47
4084,2015/12/22,18.12,3651.77
4085,2015/12/23,18.05,3636.09
4086,2015/12/24,17.93,3612.49
4087,2015/12/25,18.01,3627.91
4088,2015/12/28,17.54,3533.78
4089,2015/12/29,17.69,3563.74
4090,2015/12/30,17.73,3572.88
4091,2015/12/31,17.63,3539.18
4092,2016/1/4,16.42,3296.66
4093,2016/1/5,16.38,3287.71
4094,2016/1/6,16.75,3361.84
4095,2016/1/7,15.57,3125
4096,2016/1/8,15.87,3186.41
4097,2016/1/11,15.03,3016.7
4098,2016/1/12,15.06,3022.86
4099,2016/1/13,14.69,2949.6
4100,2016/1/14,14.98,3007.65
4101,2016/1/15,14.45,2900.97
4102,2016/1/18,14.51,2913.84
4103,2016/1/19,14.98,3007.74
4104,2016/1/20,14.83,2976.69
4105,2016/1/21,14.35,2880.48
4106,2016/1/22,14.53,2916.56
4107,2016/1/25,14.64,2938.51
4108,2016/1/26,13.7,2749.79
4109,2016/1/27,13.63,2735.56
4110,2016/1/28,13.23,2655.66
4111,2016/1/29,13.73,2737.6
4112,2016/2/1,13.49,2688.85
4113,2016/2/2,13.79,2749.57
4114,2016/2/3,13.74,2739.25
4115,2016/2/4,13.95,2781.02
4116,2016/2/5,13.86,2763.49
4117,2016/2/15,13.77,2746.2
4118,2016/2/16,14.23,2836.57
4119,2016/2/17,14.38,2867.34
4120,2016/2/18,14.36,2862.89
4121,2016/2/19,14.34,2860.02
4122,2016/2/22,14.68,2927.18
4123,2016/2/23,14.56,2903.33
4124,2016/2/24,14.69,2928.9
4125,2016/2/25,13.75,2741.25
4126,2016/2/26,13.88,2767.21
4127,2016/2/29,13.56,2687.98
4128,2016/3/1,13.79,2733.17
4129,2016/3/2,14.38,2849.68
4130,2016/3/3,14.43,2859.76
4131,2016/3/4,14.5,2874.15
4132,2016/3/7,14.62,2897.34
4133,2016/3/8,14.64,2901.39
4134,2016/3/9,14.44,2862.56
4135,2016/3/10,14.15,2804.73
4136,2016/3/11,14.18,2810.31
4137,2016/3/14,14.43,2859.5
4138,2016/3/15,14.45,2864.37
4139,2016/3/16,14.48,2870.43
4140,2016/3/17,14.65,2904.83
4141,2016/3/18,14.91,2955.15
4142,2016/3/21,15.23,3018.8
4143,2016/3/22,15.13,2999.36
4144,2016/3/23,15.18,3009.96
4145,2016/3/24,14.94,2960.97
4146,2016/3/25,15.03,2979.43
4147,2016/3/28,14.92,2957.82
4148,2016/3/29,14.73,2919.83
4149,2016/3/30,15.14,3000.65
4150,2016/3/31,15.05,3003.92
4151,2016/4/1,15.08,3009.53
4152,2016/4/5,15.3,3053.07
4153,2016/4/6,15.28,3050.59
4154,2016/4/7,15.07,3008.42
4155,2016/4/8,14.96,2984.96
4156,2016/4/11,15.2,3033.96
4157,2016/4/12,15.15,3023.65
4158,2016/4/13,15.36,3066.64
4159,2016/4/14,15.44,3082.36
4160,2016/4/15,15.42,3078.12
4161,2016/4/18,15.2,3033.66
4162,2016/4/19,15.24,3042.82
4163,2016/4/20,14.89,2972.58
4164,2016/4/21,14.79,2952.89
4165,2016/4/22,14.83,2959.24
4166,2016/4/25,14.76,2946.67
4167,2016/4/26,14.85,2964.7
4168,2016/4/27,14.8,2953.67
4169,2016/4/28,14.76,2945.59
4170,2016/4/29,14.75,2938.32
4171,2016/5/3,15.02,2992.64
4172,2016/5/4,15.02,2991.27
