date,pe,close
2011-12,13.36,2199.42
2012-01,13.97,2292.61
2012-02,14.88,2428.49
2012-03,13.85,2262.79
2012-04,14.73,2396.32
2012-05,12.65,2372.23
2012-06,11.92,2225.43
2012-07,11.28,2103.63
2012-08,10.96,2047.52
2012-09,11.26,2086.17
2012-10,11.25,2068.88
2012-11,10.7,1980.12
2012-12,12.3,2269.13
2013-01,12.92,2385.42
2013-02,12.95,2365.59
2013-03,12.12,2236.62
2013-04,11.9,2177.91
2013-05,11.84,2300.59
2013-06,10.07,1979.21
2013-07,10.25,1993.8
2013-08,10.84,2098.38
2013-09,11.13,2174.67
2013-10,11,2141.61
2013-11,11.47,2220.5
2013-12,10.97,2115.98
2014-01,10.57,2033.08
2014-02,10.74,2056.3
2014-03,10.74,2033.31
2014-04,10.56,2026.36
2014-05,9.76,2039.21
2014-06,9.81,2048.33
2014-07,10.54,2201.56
2014-08,10.72,2217.2
2014-09,11.45,2363.87
2014-10,11.8,2420.18
2014-11,13.13,2682.83
2014-12,16.03,3234.68
2015-01,15.96,3210.36
2015-02,16.52,3310.3
2015-03,18.93,3747.9
2015-04,22.5,4441.65
2015-05,21.93,4611.74
2015-06,21,4277.22
2015-07,20.89,3663.73
2015-08,15.81,3205.99
2015-09,15.15,3052.78
2015-10,16.62,3382.56
2015-11,17.1,3445.41
2015-12,17.63,3539.18
2016-01,13.73,2737.6
2016-02,13.56,2687.98
2016-03,15.05,3003.92
2016-04,14.75,2938.32
2016-05,14.41,2916.62
2016-06,14.43,2929.61
2016-07,14.77,2979.34
2016-08,15.42,3085.49
2016-09,15.03,3004.7
2016-10,15.71,3100.49
2016-11,16.49,3250.03
2016-12,15.95,3103.64
2017-01,16.35,3159.17
2017-02,16.83,3241.73
2017-03,16.83,3222.51
2017-04,16.71,3154.66
2017-05,16.47,3117.18
2017-06,17.03,3192.43
2017-07,17.43,3273.03
2017-08,17.94,3360.81
2017-09,18.02,3348.94
2017-10,18.01,3393.34
2017-11,18.08,3317.19
2017-12,18.03,3307.17
2018-01,19.19,3480.83
2018-02,18.06,3259.41
2018-03,17.72,3168.9
2018-04,17.31,3082.41
2018-05,15.16,3061.83
2018-06,13.81,2789.81
2018-07,14.29,2866.9
2018-08,13.45,2730.11
2018-09,13.86,2794.26
2018-10,13,2573.01
2018-11,12.96,2564.56
2018-12,12.48,2493.9
2019-01,12.94,2584.57
2019-02,14.78,2940.95
2019-03,15.54,3090.76
2019-04,15.43,3078.34
2019-05,13.4,2898.7
2019-06,13.78,2978.88
2019-07,13.64,2932.51
2019-08,13.63,2863.57
