
日期	收盘	开盘	高	低	涨跌幅
2005年10月	3.174	3.174	3.174	3.174	-4.54%
2005年9月	3.325	3.325	3.325	3.325	-5.49%
2005年8月	3.518	3.518	3.518	3.518	-0.85%
2005年7月	3.548	3.548	3.548	3.548	-8.42%
2005年6月	3.874	3.874	3.874	3.874	-6.27%
2005年5月	4.133	4.133	4.133	4.133	-5.14%
2005年4月	4.357	4.357	4.357	4.357	-1.22%
2005年3月	4.411	4.411	4.411	4.411	-5.59%
2005年2月	4.672	4.672	4.672	4.672	0.54%
2005年1月	4.647	4.647	4.647	4.647	2.51%
2004年12月	4.533	4.533	4.533	4.533	-4.63%
2004年11月	4.753	4.753	4.753	4.753	-0.79%
2004年10月	4.791	4.791	4.791	4.791	0.02%
2004年9月	4.790	4.790	4.790	4.790	-3.25%
2004年8月	4.951	4.951	4.951	4.951	6.61%
2004年7月	4.644	4.644	4.644	4.644	2.11%
2004年6月	4.548	4.548	4.548	4.548	10.52%
2004年5月	4.115	4.115	4.115	4.115	0.56%
2004年4月	4.092	4.092	4.092	4.092	2.81%
2004年3月	3.980	3.980	3.980	3.980	0.81%
2004年2月	3.948	3.948	3.948	3.948	5.00%
2004年1月	3.760	3.760	3.760	3.760	0.13%
2003年12月	3.755	3.755	3.755	3.755	-0.77%
2003年11月	3.784	3.784	3.784	3.784	4.33%
2003年10月	3.627	3.627	3.627	3.627	6.36%
2003年9月	3.410	3.410	3.410	3.410	15.99%
2003年8月	2.940	2.940	2.940	2.940	1.31%
2003年7月	2.902	2.902	2.902	2.902	-2.75%
2003年6月	2.984	2.984	2.984	2.984	3.00%
2003年5月	2.897	2.897	2.897	2.897	-7.18%
2003年4月	3.121	3.121	3.121	3.121	5.33%
2003年3月	2.963	2.963	2.963	2.963	-1.53%
2003年2月	3.009	3.009	3.009	3.009	-1.57%
2003年1月	3.057	3.057	3.057	3.057	-1.36%
2002年12月	3.099	3.099	3.099	3.099	-6.71%
2002年11月	3.322	3.322	3.322	3.322	8.28%
2002年10月	3.068	3.068	3.068	3.068	-0.42%
2002年9月	3.081	3.081	3.081	3.081	8.22%
2002年8月	2.847	2.847	2.847	2.847	-0.80%
2002年7月	2.870	2.870	2.870	2.870	13.44%
最高: 4.951	最低: 2.601	差价: 2.350	平均: 3.606	涨跌幅: 26.206
